Date,Open,High,Low,Close,Adj Close,Volume,Amazon,Microsoft,Google,NASDAQ,NYSE,RUSSELL2000,ViX,USD/CNY,5yearTreasury,10yearTreasury
14/10/2022,144.309998,144.520004,138.190002,138.380005,137.74968,88598000,106.900002,228.559998,97.18,10321.38965,13607.30957,1682.400024,32.02,7.1695,4.269,4.01
17/10/2022,141.070007,142.899994,140.270004,142.410004,141.761337,85250900,113.790001,237.529999,100.779999,10675.79981,13923.20996,1735.75,31.370001,7.19,4.239,4.015
18/10/2022,145.490005,146.699997,140.610001,143.75,143.09523,99136600,116.360001,238.5,101.389999,10772.40039,14089.2002,1755.959961,30.5,7.1955,4.215,3.998
19/10/2022,141.690002,144.949997,141.5,143.860001,143.204727,61758300,115.07,236.479996,100.290001,10680.50977,13947.25977,1725.76001,30.76,7.2006,4.35,4.127
20/10/2022,143.020004,145.889999,142.649994,143.389999,142.736862,64522000,115.25,236.149994,100.529999,10614.83984,13840.46973,1704.390015,29.98,7.2273,4.448,4.226
21/10/2022,142.869995,147.850006,142.649994,147.270004,146.599197,86548600,119.32,242.119995,101.480003,10859.71973,14144.04981,1742.23999,29.690001,7.2158,4.354,4.213
24/10/2022,147.190002,150.229996,146,149.449997,148.769257,75981900,119.82,247.25,102.970001,10952.61035,14226.11035,1748.400024,29.85,7.2428,4.359,4.234
25/10/2022,150.089996,152.490005,149.360001,152.339996,151.646103,74732300,120.599998,250.660004,104.93,11199.12012,14440.69043,1796.160034,28.459999,7.2619,4.257,4.108
26/10/2022,150.960007,151.990005,148.039993,149.350006,148.669724,88194300,115.660004,231.320007,94.82,10970.99023,14531.69043,1804.329956,27.280001,7.3038,4.194,4.015
27/10/2022,148.070007,149.050003,144.130005,144.800003,144.140442,109180200,110.959999,226.75,92.599998,10792.66992,14569.90039,1806.319946,27.389999,7.1719,4.088,3.937
28/10/2022,148.199997,157.5,147.820007,155.740005,155.030609,164762400,103.410004,235.869995,96.580002,11102.4502,14795.62988,1846.920044,25.75,7.2279,4.19,4.01
31/10/2022,153.160004,154.240005,151.919998,153.339996,152.641525,97943200,102.440002,232.130005,94.660004,10988.15039,14747.03027,1846.859985,25.879999,7.2514,4.248,4.077
01/11/2022,155.080002,155.449997,149.130005,150.649994,149.963791,80379300,96.790001,228.169998,90.5,10890.84961,14790.70996,1851.390015,25.809999,7.3018,4.258,4.052
02/11/2022,148.949997,152.169998,145,145.029999,144.369385,93604600,92.120003,220.100006,87.07,10524.79981,14497.84961,1789.140015,25.860001,7.2766,4.249,4.059
03/11/2022,142.059998,142.800003,138.75,138.880005,138.247406,97918500,89.300003,214.25,83.489998,10342.94043,14455.66992,1779.72998,25.299999,7.2887,4.35,4.124
04/11/2022,142.089996,142.669998,134.380005,138.380005,137.978195,140814800,90.980003,221.389999,86.699997,10475.25,14702.76953,1799.869995,24.549999,7.3008,4.326,4.156
07/11/2022,137.110001,139.149994,135.669998,138.919998,138.516617,83374600,90.529999,227.869995,88.650002,10564.51953,14808.62988,1809.810059,24.35,7.1751,4.393,4.214
08/11/2022,140.410004,141.429993,137.490005,139.5,139.09494,89908500,89.980003,228.869995,88.910004,10616.2002,14889.29981,1808.930054,25.540001,7.2288,4.306,4.126
09/11/2022,138.5,138.550003,134.589996,134.869995,134.478378,74917800,86.139999,224.509995,87.400002,10353.16992,14587.75977,1760.400024,26.09,7.2482,4.285,4.151
10/11/2022,141.240005,146.869995,139.5,146.869995,146.443527,118854000,96.629997,242.979996,94.169998,11114.15039,15234.71973,1867.930054,23.530001,7.2408,3.943,3.829
11/11/2022,145.820007,150.009995,144.369995,149.699997,149.26532,93979700,100.790001,247.110001,96.730003,11323.33008,15352.69043,1882.73999,22.52,7.1859,3.938,3.813
14/11/2022,148.970001,150.279999,147.429993,148.279999,147.849442,73374100,98.489998,241.550003,96.029999,11196.21973,15228.98047,1861.25,23.73,7.1071,3.997,3.865
15/11/2022,152.220001,153.589996,148.559998,150.039993,149.604324,89868300,98.940002,241.970001,98.720001,11358.41016,15381,1889.199951,24.540001,7.0729,3.922,3.799
16/11/2022,149.130005,149.869995,147.289993,148.789993,148.357956,64218300,97.120003,241.729996,98.989998,11183.66016,15265.25,1853.170044,24.110001,7.043,3.85,3.692
17/11/2022,146.429993,151.479996,146.149994,150.720001,150.282349,80389400,94.849998,241.679993,98.5,11144.95996,15223.95996,1839.119995,23.93,7.0872,3.937,3.775
18/11/2022,152.309998,152.699997,149.970001,151.289993,150.850693,74829600,94.139999,241.220001,97.800003,11146.05957,15309.76953,1849.72998,23.120001,7.1562,4,3.818
21/11/2022,150.160004,150.369995,147.720001,148.009995,147.580231,58724100,92.459999,242.050003,95.830002,11024.50977,15278.25977,1839.140015,22.360001,7.1189,4.008,3.825
22/11/2022,148.130005,150.419998,146.929993,150.179993,149.743912,51804100,93.199997,245.029999,97.330002,11174.41016,15481.75977,1860.439941,21.290001,7.1642,3.938,3.758
23/11/2022,149.449997,151.830002,149.339996,151.070007,150.631348,58301400,94.129997,247.580002,98.82,11285.32031,15545.51953,1863.52002,20.35,7.1393,3.892,3.706
25/11/2022,148.309998,148.880005,147.119995,148.110001,147.679947,35195900,93.410004,247.490005,97.599998,11226.36035,15605.66992,1869.189941,20.5,7.1503,3.87,3.691
28/11/2022,145.139999,146.639999,143.380005,144.220001,143.801239,69246000,93.949997,241.759995,96.25,11049.5,15370.44043,1830.959961,22.209999,7.1705,3.896,3.703
29/11/2022,144.289993,144.809998,140.350006,141.169998,140.760086,83763800,92.419998,240.330002,95.440002,10983.78027,15433.45996,1836.550049,21.889999,7.2071,3.92,3.748
30/11/2022,141.399994,148.720001,140.550003,148.029999,147.600174,111380900,96.540001,255.139999,101.449997,11468,15780.01953,1886.579956,20.58,7.1594,3.832,3.703
01/12/2022,148.210007,149.130005,146.610001,148.309998,147.879349,71250400,95.5,254.690002,101.279999,11482.4502,15761.12012,1881.680054,19.84,7.0762,3.68,3.529
02/12/2022,145.960007,148,145.649994,147.809998,147.380814,65447400,94.129997,255.020004,100.830002,11461.5,15767.01953,1892.839966,19.059999,7.0437,3.666,3.506
05/12/2022,147.770004,150.919998,145.770004,146.630005,146.204239,68826400,91.010002,250.199997,99.870003,11239.94043,15474.79004,1840.219971,20.75,7.0239,3.793,3.599
06/12/2022,147.070007,147.300003,141.919998,142.910004,142.495041,64727200,88.25,245.119995,97.309998,11014.88965,15328.45996,1812.579956,22.17,6.9609,3.733,3.513
07/12/2022,142.190002,143.369995,140,140.940002,140.530762,69721100,88.459999,244.369995,95.150002,10958.54981,15311.79004,1806.900024,22.68,6.9949,3.614,3.408
08/12/2022,142.360001,143.520004,141.100006,142.649994,142.235794,62128300,90.349998,247.399994,93.949997,11082,15399.94043,1818.290039,22.290001,6.9726,3.71,3.491
09/12/2022,142.339996,145.570007,140.899994,142.160004,141.747208,76097000,89.089996,245.419998,93.07,11004.62012,15291.04981,1796.660034,22.83,6.9663,3.757,3.567
12/12/2022,142.699997,144.5,141.059998,144.490005,144.07045,70462700,90.550003,252.509995,93.559998,11143.74023,15468.66992,1818.609985,25,6.9566,3.802,3.611
